time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1687693109000842000,-0.752157958984375,195.4797849142924,2.745611246885596,5.170142632613343,50.00264521510147,147.8897847617045,97.81834558049151,4.749154363450911,3.3570924719024355,9.225137162534194,29.599628480832198
1687693110000868900,0.247868896484375,195.75563247688115,2.802225047921773,5.253102795254452,50.00260572410481,148.16563232429326,98.38264303365139,4.818042400779057,3.257453676889974,9.225542597944925,29.51106033919476
1687693111000894700,1.247894775390625,196.5906490860507,2.8720981764410776,5.342579316498123,50.002562615586896,149.0006489334628,98.81804417710129,4.944635143141013,3.0618818288764333,9.225945867779748,29.36871115352337
1687693112000921600,2.247921630859375,196.78842665906996,2.7948657085359447,5.325451278043147,50.00250886051319,149.19842650648206,100.5326156616211,4.955533597760865,3.044211522587105,9.226344671408546,29.288421376316577
1687693113000947500,3.247947509765625,196.40005925297737,2.789261428696511,5.374242836552667,50.00246269823275,148.81005910038948,101.13735961914062,5.056491742938424,2.8734001263980566,9.226761826566575,29.633135119922084
1687693114000973600,4.2479736328125,196.62769591156393,2.7674194320910868,5.359924054908462,50.00240195068193,149.03769575897604,101.86668395996094,5.030009503769608,2.919510476908116,9.22717126215778,29.69512067017289
1687693115001000400,5.24800048828125,199.00620133895427,2.7582404495540995,5.172957513030743,50.0023348374028,151.41620118636638,101.96502685546875,4.815807360905103,3.260757043301611,9.227573151400689,29.61531176230684
1687693116001025300,6.248025390625,196.86170920543373,2.7552222248913294,5.1722822231843315,50.00228183167435,149.27170905284584,102.29053497314453,4.780369895832038,3.312491613847743,9.227975045600264,29.5844742190438
1687693117001051600,7.2480517578125,196.1899551860988,2.757903373715079,5.16994842184703,50.00222755009138,148.59995503351092,103.07079315185547,4.763980473858029,3.336019645848667,9.228375139457045,29.40852573975302
1687693118001076700,8.24807666015625,195.64147342648357,3.1265891236450116,5.199004586746019,50.00217047866013,148.05147327389568,103.68109130859375,4.75839475187859,3.343982119880896,9.228777279937972,29.406649523429927
1687693119001102600,9.2481025390625,196.27222983445972,3.117265892405952,5.205279509759067,50.002108137308674,148.68222968187183,103.75454711914062,4.750819345420738,3.354735843544899,9.229173191836882,29.265336076226717
1687693120001129200,10.248129150390625,197.1378635559231,3.125408666473172,5.213341765870633,50.00204131921473,149.5478634033352,103.9251937866211,4.747408751652473,3.359560563157382,9.229568376803375,29.338358465031092
1687693121001154300,11.248154296875,197.72348085138947,3.1286057322075975,5.186847159163311,50.00197744824676,150.13348069880158,104.41887664794922,4.7320958834393085,3.381095322927998,9.229971773962555,29.686832632599003
1687693122001180200,12.24818017578125,196.91146452911198,3.0744233473306455,5.195951439242791,50.00191350829136,149.3214643765241,104.53600311279297,4.740188938677676,3.369739731555932,9.230370316846688,29.602116107853618
1687693123001205800,13.248205810546875,197.3276301184669,3.0623934643823305,5.217299702235761,50.001836874631934,149.73762996587902,105.18688201904297,4.74200814615176,3.367179201441346,9.230758980709167,29.12970443702495
1687693124001231000,14.248231201171874,197.8345502903685,3.067878896763875,5.1883444338992195,50.001766457766095,150.2445501377806,106.47823333740234,4.738753551130352,3.3717579709164047,9.231162623919596,29.555945873434023
1687693125001256200,15.248256103515626,198.53031796496361,3.0508467652870914,5.1940285199621465,50.001697522409984,150.94031781237572,106.75518798828125,4.740309523140994,3.3695700998209883,9.231561746541914,29.64652015313337
1687693126001282000,16.248281982421876,197.98101290129125,3.0566851207923675,5.192591509174218,50.00162285429845,150.39101274870336,106.75518798828125,4.743044713602597,3.3657189243243844,9.231956242718017,29.603260538769092
1687693127001307100,17.24830712890625,197.3238929109648,3.0554373480512473,5.182640676934195,50.00154415076352,149.7338927583769,107.05887603759766,4.738638180522856,3.3719201098009233,9.232350200436702,29.68392046372462
1687693128001332700,18.248332763671876,197.5552226062864,3.060503288836919,5.180865489042371,50.001467103962156,149.96522245369852,108.38748931884766,4.732984366456158,3.379851478936675,9.232745495811113,29.733787524489806
1687693129001357600,19.248357666015625,197.9979408532381,3.079250538422984,5.186210404404459,50.00138571328908,150.40794070065022,108.09798431396484,4.7294596922685335,3.3847818322598084,9.233145098076294,29.834260698747677
1687693130001383400,20.248383544921875,198.4963011275977,3.06964658887345,5.190518071896868,50.001300105177314,150.9063009750098,108.74789428710938,4.726442938176016,3.3889930930816177,9.233537692241821,29.770638374251806
1687693131001408500,21.248408447265625,197.9812665693462,3.0513025841122463,5.190818726563178,50.00121288813254,150.3912664167583,108.8568115234375,4.723723949235882,3.3927819093192833,9.23392851394334,29.710341813512848
1687693132001433900,22.248433837890627,198.3222288619727,3.0426560434116663,5.198003788605505,50.00112504741225,150.7322287093848,109.3536148071289,4.7254652110375766,3.3903562603452806,9.23431507133479,29.56967124863622
1687693133001458700,23.248458740234376,198.7288202214986,3.0367954052131108,5.2009249058170495,50.001037954635336,151.13882006891072,109.00983428955078,4.726849097121891,3.388426573769426,9.234703537848116,29.50384333168535
1687693134001484000,24.248484130859374,199.1683030379936,3.017054741369033,5.206447332000443,50.00094606603822,151.57830288540572,109.96607208251953,4.732500235794312,3.3805293300007935,9.235092791745172,29.45304595324639
1687693135001509000,25.248509033203124,199.18119028769433,3.028158848907049,5.211174191200745,50.00085332093725,151.59119013510644,110.59369659423828,4.735687643668692,3.3760627325913983,9.235481221942857,29.488221343992016
