time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1687692904997349400,-15.541650634765626,201.01450881920755,3.8643341985628594,3.4647197194239636,49.99558924570128,153.42450866661966,88.24257766043347,4.779809668965581,3.9999999999812985,9.128854024886635,36.5400009149301
1687692920596233700,0.057233642578125,201.3250961303711,-1,-1,49.99580180626276,153.4245147705078,-1,460.27567952546724,25.499021530151367,9.139600770263058,-1
1687692920997730000,0.45872998046875,201.3250961303711,-1,-1,49.995804509194414,153.4245147705078,-1,460.4282149181944,25.499021530151367,9.1397374273225,-1
1687692921005536000,0.466535888671875,201.3250961303711,-1,-1,49.99580456157734,153.4245147705078,-1,460.42827307164157,25.499021530151367,9.139740075741992,-1
1687692921236501000,0.6975009765625,201.3250961303711,-1,-1,49.99580610861416,153.4245147705078,-1,460.4792250162771,25.499021530151367,9.139818292116846,-1
1687692921241932000,0.70293212890625,201.3250961303711,-1,-1,49.99580614492501,153.4245147705078,-1,460.479253327992,25.499021530151367,9.139820127951074,-1
1687692921414237000,0.87523681640625,202.97418212890625,1.3300000429153442,2.3563548591689267,49.994439692283045,155.38418197631836,102.3046875,41.805451661472155,32,9.142558872708252,36.529998779296875
1687692922000240400,1.461240478515625,201.590576171875,1.6799999475479126,2.9731030119745068,49.99441991099156,154.0005760192871,102.3046875,42.970879780258805,8,9.142870260411074,36.529998779296875
1687692923000294100,2.461294189453125,201.96331787109375,1.440000057220459,2.4566109371273126,49.99391356022097,154.37331771850586,106.5234375,5.6772393188053405,6,9.143505524852447,36.529998779296875
1687692924000343300,3.46134326171875,203.4271240234375,0.699999988079071,1.2087244901519933,49.99377949167974,155.8371238708496,109.32872772216797,3.9957185673226316,6,9.144021011897497,37.279998779296875
1687692925000392400,4.461392333984375,203.6126708984375,0.6800000071525574,1.1565679917110123,49.993663067044686,156.0226707458496,109.31552124023438,3.5355339059327373,4,9.144523674630694,37.790000915527344
1687692926000439000,5.46143896484375,203.6890869140625,0.3199999928474426,0.5482586977075418,49.993548067333165,156.0990867614746,109.96195983886719,3.5355339059327373,3,9.145026505001955,37.599998474121094
1687692926999696100,6.460696044921875,204.9603271484375,0.10999999940395355,0.203524122598402,49.99343491164035,157.3703269958496,109.0853271484375,3.5355339059327373,3,9.145525479697758,37.599998474121094
