time,seconds_elapsed,z,y,x
1687692876180263200,0.04126318359375,-0.005848726028203964,0.009636135612428189,-0.712000414738804
1687692876190226200,0.05122607421875,0.18131693661510942,0.018351941509544847,-0.5384542947882786
1687692876200190000,0.06118994140625,0.44524318285584447,0.046722588208317754,-0.37819457658603783
1687692876210153200,0.0711533203125,0.7214110710322856,0.06301642814427613,-0.2882577736165374
1687692876220117000,0.081116943359375,0.9183698134154081,0.035465281134843825,-0.22558705363739281
1687692876230080000,0.091080078125,0.9491717789143324,0.02359860999137163,-0.22731961305104195
1687692876240044000,0.1010439453125,0.912314166638255,0.10818155777752399,-0.25212858521286396
1687692876250007000,0.111007080078125,0.9511837032586336,0.19197335518598554,-0.2125388810917735
1687692876259971000,0.12097119140625,1.0530167687922716,0.2512435825392604,-0.10722743539046496
1687692876269934000,0.13093408203125,1.1196101786404848,0.27515841887295245,0.0021945143695920703
1687692876279898000,0.140898193359375,1.0725672724366186,0.2170391151204705,0.0836798979992047
1687692876289861000,0.150861083984375,0.9546037408351897,0.16645400626510382,0.1161031080244109
1687692876299825200,0.1608251953125,0.8213742510408163,0.1483364580333233,0.12786617266293615
1687692876309788200,0.1707880859375,0.7439993349373341,0.06986234851628542,0.18470727317314595
1687692876319752200,0.180752197265625,0.6391390305370092,0.0217655493453145,0.23635219327975063
1687692876329715200,0.190715087890625,0.4145335718154907,-0.062492112009227274,0.14123093687705696
1687692876339679200,0.20067919921875,0.1254781450152397,-0.12489040825515985,-0.030904110699146985
1687692876349642000,0.21064208984375,-0.07767068417966365,-0.15625760642141104,-0.17548296976462005
1687692876359606000,0.22060595703125,-0.1306681148737669,-0.21603841364532708,-0.22680322449412196
1687692876369569000,0.230569091796875,-0.09222235662341118,-0.2802785383656621,-0.20345738368742167
1687692876379533000,0.240532958984375,-0.10057926608026027,-0.34189649788886306,-0.1865458137119189
1687692876389496000,0.25049609375,-0.26732874816060065,-0.35781215216219425,-0.2073664468899369
1687692876399460000,0.260460205078125,-0.5214589920520782,-0.3845815011441707,-0.23540504862274972
1687692876409423000,0.270423095703125,-0.7460860780835151,-0.3658981357231736,-0.2688847454309463
1687692876419386000,0.28038623046875,-0.7509300109833479,-0.2792120781779289,-0.24933541083037852
1687692876429350100,0.29035009765625,-0.6431038425147533,-0.24120208099633453,-0.18273213717527687
1687692876439313200,0.300313232421875,-0.4842372226387262,-0.22385259452760217,-0.10768566401936114
1687692876449277200,0.310277099609375,-0.2723708339810371,-0.23463468530476092,-0.059674935696646565
1687692876459240200,0.320240234375,-0.03302373320162296,-0.23292291295081374,-0.017826967787370085
1687692876469204200,0.330204345703125,0.21386019282341,-0.277753403802216,0.026522169287875295
1687692876479167200,0.340167236328125,0.40384851167201996,-0.27257629342526196,0.01937310125082731
1687692876489131300,0.35013134765625,0.4931599492847919,-0.24732933170497415,0.013185717852786183
1687692876499094300,0.36009423828125,0.5383569353610277,-0.28225568365752696,0.07661087292842567
1687692876509058300,0.370058349609375,0.5963409222960472,-0.26028818199932574,0.11642265883497893
1687692876519021000,0.38002099609375,0.6241378607600927,-0.17535598238408565,0.19084588552601633
1687692876528985000,0.389985107421875,0.623249387487769,-0.10514175169020891,0.28662629995718597
1687692876538948000,0.399947998046875,0.5455857175707817,-0.01513940920382738,0.34587336563058196
1687692876548912000,0.409912109375,0.4841939680188894,0.009024141193926334,0.4205779665462672
1687692876558875100,0.419875244140625,0.3815846574157476,0.061412792339920995,0.41402905635945497
1687692876568839200,0.429839111328125,0.29734160910844804,0.10134528201669454,0.35766119938418267
1687692876578802200,0.43980224609375,0.22695874384939668,0.12260785027593374,0.34444830126352605
1687692876588766200,0.44976611328125,0.17156418888568878,0.16663403900712728,0.3787592247314751
1687692876598729200,0.459729248046875,0.1397077458977699,0.16055822622478008,0.4354774295143783
1687692876608693200,0.469693359375,0.11739537632465362,0.16802753919214009,0.5060435423858464
1687692876618656300,0.47965625,0.1353910517424345,0.1573369260907173,0.5645996301203966
1687692876628620000,0.4896201171875,0.15186989285647867,0.1383580848544836,0.5898695343248546
1687692876638583300,0.499583251953125,0.14326514611840246,0.12729308548271656,0.6013401918880641
1687692876648547000,0.509547119140625,0.08747486983537674,0.08114595907479524,0.634928134843707
1687692876658510300,0.51951025390625,-0.01173310789167881,0.024658932699263093,0.6323593072690069
1687692876668474000,0.52947412109375,-0.18433482313156127,0.0016384148567914962,0.5750926017578691
1687692876678437000,0.53943701171875,-0.3931915085792541,0.012182605224847792,0.5041159353241325
1687692876688400100,0.549400146484375,-0.6620458588719368,-0.0005216857865452766,0.43641609860397873
1687692876698364200,0.5593642578125,-0.9056558777928352,-0.0033463878184556957,0.4429203659314662
1687692876708327200,0.5693271484375,-1.0540665701061487,-0.014057751446962356,0.4700706039898097
1687692876718291000,0.579291015625,-1.0419774883836508,-0.05386252309083938,0.49265587222017343
1687692876728254000,0.58925390625,-0.8893675908148289,-0.12426467757225036,0.49573783694878215
1687692876738217200,0.59921728515625,-0.6715075147002935,-0.2061693460598588,0.43320217805877326
1687692876748180200,0.60918017578125,-0.4889209965407848,-0.2824672805815935,0.3547624092027545
1687692876758144300,0.619144287109375,-0.3484282377451658,-0.36407413516640663,0.28151787090227004
1687692876768107300,0.629107177734375,-0.23605390445291993,-0.3883247793257236,0.27746808405481277
