time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1684347671319872800,-5.585127197265625,359.0463523864746,-1,-1,49.45584725180963,313.4563522338867,-1,35,16.02482795715332,11.126832764565016,-1
1684347729000584200,52.09558422851563,359.62649880722165,1.1017649364673185,11.752306332440385,49.45562535385145,314.03649865463376,232.4858733666039,4.800438006537884,3.283341587190621,11.125266138258377,5.2737241025561055
1684347786999804700,110.0948046875,361.01987137645483,0.9084689512284115,8.362206718354376,49.45347500428153,315.42987122386694,219.38007233695888,4.759827884341918,3.341941882234036,11.122587851562797,6.056865298353837
1684347844000144400,167.09514428710938,359.2570946421474,1.0535696018446676,11.06832284729353,49.452182404611335,313.66709448955953,239.49315872916475,4.815513456732965,3.261191067817488,11.119790298073276,5.295452191450508
1684347901999919900,225.094919921875,360.67966303788126,0.9418604291216238,14.652253352054393,49.45059234920729,315.08966288529336,234.63150375373587,4.794542476733555,3.2919446337364953,11.11596722275869,3.617128421918298
1684347959000459300,282.0954592285156,355.92431860696524,0.8988838063506421,8.695130493585074,49.448810073348355,310.33431845437735,249.1714433839178,4.7793235583566664,3.3140011100369002,11.11234083400233,5.613250784271178
1684348017000308500,340.09530859375,353.1528006847948,1.146149978614113,14.929662599545896,49.447942553098585,307.5628005322069,248.0271641522014,4.856748370052997,3.1994581264295987,11.10847877040086,4.191562670662764
1684348074000720600,397.095720703125,353.28987626731396,1.4738974540044645,16.094932828295043,49.44836673652864,307.69987611472607,348.63394000948665,5.773432268714484,2.1159864786290514,11.105431784316691,5.155108211702899
1684348132000023600,455.0950234375,347.8459730995819,1.0324760222263791,22.191673584022112,49.450629528192586,302.255972946994,0.04504469058021349,4.782885296818856,3.308858605359685,11.103993589843386,2.0897852537933197
1684348189999763000,513.0947629394532,347.5279504908249,1.0737993523782476,11.637008665182899,49.451282581662106,301.937950338237,259.62076695535956,4.855062460116249,3.2020158558568674,11.101622704026237,4.687410129953067
1684348247000342800,570.0953427734376,346.6591354124248,0.972357090124425,8.091206886788665,49.45034340829811,301.0691352598369,252.44189247897435,4.836619686378158,3.2298060378493454,11.09769393290405,6.535345993725953
1684348305000033500,628.0950334472657,344.08725789655,1.4335874345295747,13.838560205264578,49.44988553005415,298.4972577439621,274.2257526075289,4.988464597150274,2.9899428081097463,11.093594184489135,5.147456410723027
1684348362000455400,685.0954553222656,344.05197949986905,1.2257620966247713,12.397218149709772,49.450484478651035,298.46197934728116,308.5588567141681,5.064187011541195,2.859815893536907,11.08954046602854,5.214519454069152
1684348420000128800,743.0951286621093,345.90360810328275,1.4510017083533282,29.668665439927906,49.45174714049984,300.31360795069486,334.93775373588795,4.989280414746134,2.9885812647173355,11.086578609094436,2.4732894603012383
1684348477000463400,800.0954633789063,350.69022470247,0.972218423930399,22.845247607240523,49.451700317822585,305.1002245498821,222.1778713471743,4.963707471345079,3.030865416296454,11.08426308285256,2.8380320838563438
1684348535000094500,858.0950944824219,351.83117024600506,1.1119218020090456,180,49.450878847596414,306.24117009341717,207.95914596349272,4.988919099374115,2.9891843791725194,11.083072238697108,0
1684348592000417800,915.0954177246093,352.2320578722283,1.392933613164717,85.47886482957679,49.450409125616964,306.64205771964043,225.32745930969622,5.549233460865974,2.0690764707479152,11.082778951221218,0.8145861093328999
